location_id,name,latitude,longitude,city,country,is_monitor,latest_pm25,latest_pm10,latest_no2,latest_datetime,nearest_park,distance,count_nearby_parks
947154,54th St ES (3781),33.99189,-118.34346,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Unnamed Park,2.330872526894704,0
947158,Compton ES (3205),33.94224,-118.2471,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Roosevelt Park,3.1296347562942572,0
947159,Curtiss MS (8103),33.85016,-118.25123,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Roosevelt Park,13.33775514087717,0
947160,5014 - Loyola Village ES,34.19444,-118.157795,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Busch Gardens,7.238984979656074,0
947161,Weigand ES (7634),33.94164,-118.23015,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Roosevelt Park,3.3440835549624714,0
947162,Vinedale ES (7548),34.23318,-118.35243,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,North Atwater Park,13.367124064554773,0
947163,Trinity ES (7219),34.0124,-118.26886,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Avalon San Pedro Park,0.3699926299783631,15
947164,Berendo MS (8057),34.04997,-118.29504,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Koreatown Pavilion Garden,0.5790278457217308,11
947165,Atwater ES (2233),34.11509,-118.25456,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Glenhurst Park,0.562516700034659,14
947166,Valley View ES (7397),34.12561,-118.34553,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Carlton Way Park,3.6793383460574196,0
947167,AGVX0MF3,33.99022953,-118.2728756,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,South Los Angeles Wetlands Park,0.5625318542259158,5
947168,Gates ES (4096),34.07283,-118.20581,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Ela Park,0.480146647036896,17
947172,Windsor Magnet ES (7822),33.99629,-118.35653,,"{'id': 155, 'code': 'US', 'name': 'United States'}",False,,,,,Unnamed Park,3.591047354636684,0
